time,motion
0.0,0.0
0.2,0.028711410239338875
0.4,0.03926488757133484
0.6,0.0447656624019146
0.8,0.05261093005537987
1.0,0.04271265119314194
1.2,0.03432374820113182
1.4,0.04484860599040985
1.6,0.055256083607673645
1.8,0.06278777867555618
2.0,0.05125021934509277
2.2,0.039486393332481384
2.4,0.03725595772266388
2.6,0.038152601569890976
2.8,0.041879694908857346
3.0,0.027770860120654106
3.2,0.03781721368432045
3.4,0.040437597781419754
3.6,0.028375960886478424
3.8,0.056716036051511765
4.0,0.0455891489982605
4.2,0.027044549584388733
4.4,0.035526592284440994
4.6,0.028541093692183495
4.8,0.023369858041405678
5.0,0.023626303300261497
5.2,0.01698879897594452
5.4,0.01952214166522026
5.6,0.018441766500473022
5.8,0.02018648386001587
6.0,0.02385452389717102
6.2,0.02213446982204914
6.4,0.029061753302812576
6.6,0.035389967262744904
6.8,0.03372061997652054
7.0,0.04055028036236763
7.2,0.038956765085458755
7.4,0.05028210207819939
7.6,0.042200926691293716
7.8,0.04919055476784706
8.0,0.056860461831092834
8.2,0.0336422398686409
8.4,0.03718830272555351
8.6,0.041348300874233246
8.8,0.047753363847732544
9.0,0.05121994391083717
9.2,0.041851673275232315
9.4,0.04884527251124382
9.6,0.05283341184258461
9.8,0.06019030511379242
10.0,0.05622364953160286
10.2,0.03927984461188316
10.4,0.0457443967461586
10.6,0.04306923225522041
10.8,0.04420172795653343
11.0,0.04509332776069641
11.2,0.03267023339867592
11.4,0.03678027540445328
11.6,0.03436131775379181
11.8,0.033912431448698044
12.0,0.02980070374906063
12.2,0.018965374678373337
12.4,0.016548484563827515
12.6,0.006724467501044273
12.8,0.005579337477684021
