time,rms,peak
0.0,0.015223793685436249,0.0440673828125
0.1,0.016599196940660477,0.05133056640625
0.2,0.014539143070578575,0.047271728515625
0.3,0.013754157349467278,0.033782958984375
0.4,0.013103610835969448,0.034881591796875
0.5,0.011877193115651608,0.030548095703125
0.6,0.011440955102443695,0.03118896484375
0.7,0.011021725833415985,0.02850341796875
0.8,0.010691741481423378,0.0294189453125
0.9,0.009566799737513065,0.024566650390625
1.0,0.008294559083878994,0.025482177734375
1.1,0.007795901037752628,0.02264404296875
1.2,0.012616141699254513,0.045867919921875
1.3,0.12764333188533783,0.302093505859375
1.4,0.07990465313196182,0.300537109375
1.5,0.10741322487592697,0.3355712890625
1.6,0.08704321831464767,0.3387451171875
1.7,0.021729208528995514,0.114776611328125
1.8,0.08232281357049942,0.2613525390625
1.9,0.0895022377371788,0.178131103515625
2.0,0.07851886749267578,0.22515869140625
2.1,0.05060265213251114,0.219024658203125
2.2,0.0418534018099308,0.129608154296875
2.3,0.03255352005362511,0.09649658203125
2.4,0.006790880113840103,0.02789306640625
2.5,0.004890249576419592,0.014312744140625
2.6,0.0043108356185257435,0.0113525390625
2.7,0.0037869983352720737,0.010345458984375
2.8,0.016600102186203003,0.078155517578125
2.9,0.008652737364172935,0.046905517578125
3.0,0.04329199343919754,0.18682861328125
3.1,0.056455809623003006,0.21240234375
3.2,0.05085735768079758,0.1907958984375
3.3,0.03689670190215111,0.132965087890625
3.4,0.024116534739732742,0.08837890625
3.5,0.013077037408947945,0.039520263671875
3.6,0.01203494518995285,0.034637451171875
3.7,0.01142706349492073,0.028961181640625
3.8,0.010813935659825802,0.025390625
3.9,0.010251345112919807,0.027740478515625
4.0,0.009538469836115837,0.028106689453125
4.1,0.008748341351747513,0.0250244140625
4.2,0.008016392588615417,0.024993896484375
4.3,0.007372697815299034,0.022857666015625
4.4,0.0068708788603544235,0.01837158203125
4.5,0.006251789163798094,0.01708984375
4.6,0.005584388971328735,0.016387939453125
4.7,0.004823405761271715,0.01251220703125
4.8,0.004710742272436619,0.0123291015625
4.9,0.004831824451684952,0.013214111328125
5.0,0.013083351776003838,0.074462890625
5.1,0.10821521282196045,0.316192626953125
5.2,0.04919881746172905,0.18341064453125
5.3,0.030173659324645996,0.1337890625
5.4,0.07408732920885086,0.201080322265625
5.5,0.08358632028102875,0.198272705078125
5.6,0.037375424057245255,0.127716064453125
5.7,0.008427581749856472,0.02679443359375
5.8,0.004995780531316996,0.02191162109375
5.9,0.00364688434638083,0.010986328125
6.0,0.0031326347962021828,0.010162353515625
6.1,0.003906595055013895,0.0174560546875
6.2,0.006609460338950157,0.02166748046875
6.3,0.09417809545993805,0.22381591796875
6.4,0.08524531871080399,0.186279296875
6.5,0.0571710504591465,0.12200927734375
6.6,0.024489575996994972,0.05572509765625
6.7,0.04737573489546776,0.19219970703125
6.8,0.05567421391606331,0.1776123046875
6.9,0.018958132714033127,0.0582275390625
7.0,0.013249740935862064,0.040374755859375
7.1,0.009921533986926079,0.023895263671875
7.2,0.00891503319144249,0.02813720703125
7.3,0.008870058692991734,0.023834228515625
7.4,0.00894790980964899,0.025360107421875
7.5,0.008834837935864925,0.02032470703125
7.6,0.008627345785498619,0.02056884765625
7.7,0.008082333952188492,0.0185546875
7.8,0.0068797883577644825,0.017242431640625
7.9,0.005530744791030884,0.01348876953125
8.0,0.004294534679502249,0.010589599609375
8.1,0.005278897937387228,0.0401611328125
8.2,0.032436247915029526,0.06121826171875
8.3,0.028488224372267723,0.04986572265625
8.4,0.024429114535450935,0.045806884765625
8.5,0.06520175188779831,0.162353515625
8.6,0.03014776110649109,0.109100341796875
8.7,0.016017284244298935,0.03076171875
8.8,0.014680610969662666,0.02764892578125
8.9,0.012623876333236694,0.0264892578125
9.0,0.01127149909734726,0.021514892578125
9.1,0.009669298306107521,0.0220947265625
9.2,0.007777813356369734,0.02099609375
9.3,0.08999934047460556,0.263885498046875
9.4,0.10476823151111603,0.275115966796875
9.5,0.03254520520567894,0.142486572265625
9.6,0.034163642674684525,0.135955810546875
9.7,0.02876473404467106,0.118927001953125
9.8,0.007103872951120138,0.029388427734375
9.9,0.0036833167541772127,0.01123046875
10.0,0.003997542895376682,0.010162353515625
10.1,0.004568642005324364,0.012420654296875
10.2,0.004748155828565359,0.0140380859375
10.3,0.0043413396924734116,0.011138916015625
10.4,0.0037854639813303947,0.0093994140625
10.5,0.0034764143638312817,0.009674072265625
10.6,0.0037555766757577658,0.009246826171875
10.7,0.004002582281827927,0.01092529296875
10.8,0.0043179430067539215,0.010955810546875
10.9,0.004563037771731615,0.011810302734375
11.0,0.0040131825953722,0.008819580078125
11.1,0.0032304665073752403,0.008544921875
11.2,0.002728937426581979,0.007568359375
11.3,0.002124073915183544,0.005950927734375
11.4,0.0021263149101287127,0.004974365234375
11.5,0.0018985058413818479,0.004608154296875
11.6,0.001742853783071041,0.0042724609375
11.7,0.0014123672153800726,0.00390625
11.8,0.0012628346448764205,0.00286865234375
11.9,0.000986953265964985,0.002716064453125
12.0,0.0008701022597961128,0.00225830078125
12.1,0.0005237328005023301,0.001800537109375
12.2,0.00036392692709341645,0.00115966796875
12.3,0.00020507608132902533,0.0006103515625
12.4,0.00011993446969427168,0.000335693359375
12.5,7.41858093533665e-05,0.000244140625
12.6,5.6064371165120974e-05,0.00018310546875
12.7,4.417149466462433e-05,0.000152587890625
12.8,4.084399188286625e-05,0.000152587890625
12.9,4.909561175736599e-05,0.00018310546875
13.0,0.00016274531662929803,0.00177001953125
