id,time,diff,file
128,127.25,0.0187,cand_128_127.25s.jpg
129,129.75,0.0090,cand_129_129.75s.jpg
130,132.00,0.0139,cand_130_132.00s.jpg
131,132.25,0.0309,cand_131_132.25s.jpg
132,132.50,0.0486,cand_132_132.50s.jpg
133,132.75,0.0482,cand_133_132.75s.jpg
134,133.00,0.0322,cand_134_133.00s.jpg
135,136.25,0.0154,cand_135_136.25s.jpg
136,138.75,0.0404,cand_136_138.75s.jpg
137,139.25,0.0516,cand_137_139.25s.jpg
138,139.50,0.0187,cand_138_139.50s.jpg
139,140.25,0.0246,cand_139_140.25s.jpg
140,140.75,0.0691,cand_140_140.75s.jpg
141,141.00,0.0209,cand_141_141.00s.jpg
142,141.25,0.0383,cand_142_141.25s.jpg
143,141.50,0.0254,cand_143_141.50s.jpg
144,141.75,0.0371,cand_144_141.75s.jpg
145,142.25,0.0195,cand_145_142.25s.jpg
146,142.50,0.0217,cand_146_142.50s.jpg
147,142.75,0.0209,cand_147_142.75s.jpg
148,143.50,0.0590,cand_148_143.50s.jpg
149,144.25,0.0289,cand_149_144.25s.jpg
150,144.75,0.0271,cand_150_144.75s.jpg
151,145.25,0.0365,cand_151_145.25s.jpg
152,145.50,0.0424,cand_152_145.50s.jpg
153,145.75,0.0930,cand_153_145.75s.jpg
154,146.00,0.0406,cand_154_146.00s.jpg
155,146.25,0.0264,cand_155_146.25s.jpg
156,146.50,0.0295,cand_156_146.50s.jpg
157,146.75,0.0492,cand_157_146.75s.jpg
158,148.50,0.0420,cand_158_148.50s.jpg
159,150.75,0.0023,cand_159_150.75s.jpg
160,153.00,0.0018,cand_160_153.00s.jpg
161,155.75,0.0508,cand_161_155.75s.jpg
162,156.00,0.0371,cand_162_156.00s.jpg
163,156.25,0.0955,cand_163_156.25s.jpg
164,156.50,0.0590,cand_164_156.50s.jpg
165,156.75,0.0316,cand_165_156.75s.jpg
166,157.00,0.0287,cand_166_157.00s.jpg
167,157.25,0.0406,cand_167_157.25s.jpg
168,157.50,0.1420,cand_168_157.50s.jpg
169,157.75,0.1316,cand_169_157.75s.jpg
170,158.00,0.0480,cand_170_158.00s.jpg
171,158.25,0.0551,cand_171_158.25s.jpg
172,158.50,0.0611,cand_172_158.50s.jpg
173,158.75,0.0656,cand_173_158.75s.jpg
174,159.00,0.0516,cand_174_159.00s.jpg
175,159.25,0.2514,cand_175_159.25s.jpg
176,159.50,0.1266,cand_176_159.50s.jpg
177,159.75,0.1443,cand_177_159.75s.jpg
178,160.00,0.1371,cand_178_160.00s.jpg
179,160.25,0.1164,cand_179_160.25s.jpg
180,160.50,0.3129,cand_180_160.50s.jpg
181,160.75,0.0676,cand_181_160.75s.jpg
182,161.00,0.1119,cand_182_161.00s.jpg
183,161.25,0.1605,cand_183_161.25s.jpg
184,161.50,0.0852,cand_184_161.50s.jpg
185,161.75,0.0221,cand_185_161.75s.jpg
186,162.00,0.0793,cand_186_162.00s.jpg
187,162.25,0.0326,cand_187_162.25s.jpg
188,162.50,0.0326,cand_188_162.50s.jpg
189,162.75,0.0320,cand_189_162.75s.jpg
190,163.00,0.0393,cand_190_163.00s.jpg
191,163.25,0.0523,cand_191_163.25s.jpg
192,163.75,0.0650,cand_192_163.75s.jpg
193,164.00,0.0875,cand_193_164.00s.jpg
194,164.25,0.0420,cand_194_164.25s.jpg
195,164.50,0.0445,cand_195_164.50s.jpg
196,164.75,0.0369,cand_196_164.75s.jpg
197,165.00,0.0455,cand_197_165.00s.jpg
198,165.25,0.0316,cand_198_165.25s.jpg
199,165.50,0.0527,cand_199_165.50s.jpg
200,165.75,0.0338,cand_200_165.75s.jpg
201,166.00,0.0193,cand_201_166.00s.jpg
202,167.00,0.0574,cand_202_167.00s.jpg
203,167.50,0.1508,cand_203_167.50s.jpg
204,167.75,0.0781,cand_204_167.75s.jpg
205,168.00,0.1125,cand_205_168.00s.jpg
206,168.25,0.0326,cand_206_168.25s.jpg
207,168.50,0.0604,cand_207_168.50s.jpg
208,168.75,0.3350,cand_208_168.75s.jpg
209,169.00,0.2938,cand_209_169.00s.jpg
210,169.25,0.0729,cand_210_169.25s.jpg
211,169.50,0.0992,cand_211_169.50s.jpg
212,169.75,0.0754,cand_212_169.75s.jpg
213,170.00,0.0686,cand_213_170.00s.jpg
214,170.25,0.0688,cand_214_170.25s.jpg
215,170.50,0.0957,cand_215_170.50s.jpg
216,170.75,0.0756,cand_216_170.75s.jpg
217,171.00,0.1064,cand_217_171.00s.jpg
218,171.25,0.0652,cand_218_171.25s.jpg
219,171.50,0.0502,cand_219_171.50s.jpg
220,171.75,0.0439,cand_220_171.75s.jpg
221,172.00,0.0535,cand_221_172.00s.jpg
222,172.25,0.0875,cand_222_172.25s.jpg
223,172.50,0.3170,cand_223_172.50s.jpg
224,172.75,0.3559,cand_224_172.75s.jpg
225,173.00,0.2979,cand_225_173.00s.jpg
226,173.25,0.2045,cand_226_173.25s.jpg
227,173.50,0.4510,cand_227_173.50s.jpg
228,173.75,0.1779,cand_228_173.75s.jpg
229,174.00,0.0420,cand_229_174.00s.jpg
230,174.25,0.0324,cand_230_174.25s.jpg
231,174.50,0.0281,cand_231_174.50s.jpg
232,175.00,0.0232,cand_232_175.00s.jpg
233,175.75,0.0238,cand_233_175.75s.jpg
234,176.25,0.0203,cand_234_176.25s.jpg
235,176.50,0.3141,cand_235_176.50s.jpg
236,176.75,0.6182,cand_236_176.75s.jpg
237,177.50,0.9365,cand_237_177.50s.jpg
238,180.25,0.1559,cand_238_180.25s.jpg
239,182.50,0.0004,cand_239_182.50s.jpg
