time,motion
0.0,0.0
0.2,0.04143299534916878
0.4,0.04788382351398468
0.6,0.049059007316827774
0.8,0.05005282536149025
1.0,0.05040610209107399
1.2,0.048239901661872864
1.4,0.05417388305068016
1.6,0.056796394288539886
1.8,0.05671735852956772
2.0,0.057263441383838654
2.2,0.0523192435503006
2.4,0.055156782269477844
2.6,0.053290463984012604
2.8,0.05077281966805458
3.0,0.05024651437997818
3.2,0.04609612748026848
3.4,0.04958876222372055
3.6,0.05039188638329506
3.8,0.048814807087183
4.0,0.04733556881546974
4.2,0.04539922997355461
4.4,0.04867812246084213
4.6,0.051009468734264374
4.8,0.050616305321455
