time,motion
0.0,0.0
0.2,0.10634852945804596
0.4,0.11877888441085815
0.6,0.1344766914844513
0.8,0.13253143429756165
1.0,0.12776446342468262
1.2,0.08511412143707275
1.4,0.07432223111391068
1.6,0.08596488833427429
1.8,0.09802290052175522
2.0,0.09694358706474304
2.2,0.07045664638280869
2.4,0.0670342966914177
2.6,0.06302745640277863
2.8,0.06336422264575958
3.0,0.05681915208697319
3.2,0.038646139204502106
3.4,0.057257767766714096
3.6,0.04711113125085831
3.8,0.0418524444103241
4.0,0.03756171464920044
4.2,0.020838454365730286
4.4,0.021798107773065567
4.6,0.022061439231038094
4.8,0.019788939505815506
5.0,0.033149730414152145
5.2,0.034395962953567505
5.4,0.037144169211387634
5.6,0.028155291453003883
5.8,0.026284007355570793
6.0,0.0327235646545887
6.2,0.025588568300008774
6.4,0.034099236130714417
6.6,0.03579506278038025
6.8,0.03896211087703705
7.0,0.03843412175774574
7.2,0.026691431179642677
7.4,0.03150361031293869
7.6,0.03357769176363945
7.8,0.03662680834531784
8.0,0.029335612431168556
8.2,0.024872343987226486
8.4,0.03022005781531334
8.6,0.03270386531949043
8.8,0.025138719007372856
9.0,0.0318533219397068
9.2,0.025005310773849487
9.4,0.03048868477344513
9.6,0.029200296849012375
9.8,0.029777316376566887
10.0,0.031914595514535904
10.2,0.022533465176820755
10.4,0.024542395025491714
10.6,0.025521118193864822
10.8,0.026008902117609978
11.0,0.01827070862054825
11.2,0.019676240161061287
11.4,0.005510750226676464
11.6,0.0032882411032915115
11.8,0.0031418632715940475
12.0,0.0033482233993709087
12.2,0.003199717728421092
12.4,0.0026580968406051397
12.6,0.0026371520943939686
12.8,0.0038019195199012756
