time,rms,peak
0.0,0.03307480737566948,0.077880859375
0.1,0.027479171752929688,0.05987548828125
0.2,0.017461063340306282,0.040802001953125
0.3,0.03875939920544624,0.123779296875
0.4,0.041360292583703995,0.095489501953125
0.5,0.028367821127176285,0.060760498046875
0.6,0.019918328151106834,0.0433349609375
0.7,0.03583584353327751,0.163299560546875
0.8,0.05349070206284523,0.14471435546875
0.9,0.04386930540204048,0.10174560546875
1.0,0.03533641993999481,0.091644287109375
1.1,0.03671760484576225,0.333251953125
1.2,0.026205942034721375,0.0697021484375
1.3,0.034001633524894714,0.106048583984375
1.4,0.041659895330667496,0.09075927734375
1.5,0.04724885895848274,0.3990478515625
1.6,0.02906927652657032,0.068328857421875
1.7,0.0363471619784832,0.113128662109375
1.8,0.045297056436538696,0.109405517578125
1.9,0.049806542694568634,0.45391845703125
2.0,0.03400232642889023,0.087188720703125
2.1,0.03768797218799591,0.267791748046875
2.2,0.0259420033544302,0.190185546875
2.3,0.024524906650185585,0.06146240234375
2.4,0.02367316000163555,0.056243896484375
2.5,0.049119412899017334,0.401214599609375
2.6,0.02189149148762226,0.0999755859375
2.7,0.020969431847333908,0.047882080078125
2.8,0.021453792229294777,0.047576904296875
2.9,0.025927823036909103,0.119110107421875
3.0,0.017292559146881104,0.049591064453125
3.1,0.016014786437153816,0.04290771484375
3.2,0.016510292887687683,0.065032958984375
3.3,0.026699090376496315,0.440093994140625
3.4,0.013090216554701328,0.037353515625
3.5,0.013014571741223335,0.048980712890625
3.6,0.011589880101382732,0.032257080078125
3.7,0.010784108191728592,0.031097412109375
3.8,0.008962849155068398,0.025909423828125
3.9,0.008441753685474396,0.02435302734375
4.0,0.037731703370809555,0.08453369140625
4.1,0.032009366899728775,0.06915283203125
4.2,0.027982110157608986,0.059051513671875
4.3,0.041261445730924606,0.10211181640625
4.4,0.043240103870630264,0.088165283203125
4.5,0.029263518750667572,0.0623779296875
4.6,0.023149076849222183,0.0479736328125
4.7,0.03311841934919357,0.12493896484375
4.8,0.049374159425497055,0.142333984375
4.9,0.044560790061950684,0.13995361328125
5.0,0.03742864355444908,0.11077880859375
5.1,0.15893499553203583,0.356689453125
5.2,0.16898083686828613,0.395782470703125
5.3,0.2813555896282196,0.606353759765625
5.4,0.1366409808397293,0.4453125
5.5,0.08421482890844345,0.25787353515625
5.6,0.1196608617901802,0.339111328125
5.7,0.17260409891605377,0.332855224609375
5.8,0.13982750475406647,0.292816162109375
5.9,0.09210265427827835,0.228240966796875
6.0,0.06051437556743622,0.185211181640625
6.1,0.07280689477920532,0.174285888671875
6.2,0.08480453491210938,0.178436279296875
6.3,0.041017841547727585,0.16033935546875
6.4,0.02717052586376667,0.072479248046875
6.5,0.02341732196509838,0.050445556640625
6.6,0.020343516021966934,0.042144775390625
6.7,0.030344516038894653,0.087554931640625
6.8,0.03781949728727341,0.092559814453125
6.9,0.032364390790462494,0.071807861328125
7.0,0.021603237837553024,0.05963134765625
7.1,0.02200140617787838,0.056915283203125
7.2,0.023988433182239532,0.059112548828125
7.3,0.023815037682652473,0.05767822265625
7.4,0.01834442839026451,0.04583740234375
7.5,0.017006369307637215,0.04779052734375
7.6,0.014719028025865555,0.042449951171875
7.7,0.015260092914104462,0.035797119140625
7.8,0.01523075345903635,0.03558349609375
7.9,0.035410553216934204,0.13897705078125
8.0,0.03528665006160736,0.15960693359375
8.1,0.03704999387264252,0.147674560546875
8.2,0.13632847368717194,0.294921875
8.3,0.10562504827976227,0.328704833984375
8.4,0.017787598073482513,0.088775634765625
8.5,0.03531989827752113,0.22979736328125
8.6,0.05024713650345802,0.172943115234375
8.7,0.08757375925779343,0.192108154296875
8.8,0.1693968027830124,0.359588623046875
8.9,0.1236858069896698,0.237548828125
9.0,0.10649607330560684,0.230224609375
9.1,0.15932203829288483,0.332672119140625
9.2,0.05914000794291496,0.236785888671875
9.3,0.01900596357882023,0.054473876953125
9.4,0.016476033255457878,0.054351806640625
9.5,0.02903422713279724,0.114532470703125
9.6,0.03508811816573143,0.14093017578125
9.7,0.08204132318496704,0.291351318359375
9.8,0.029900645837187767,0.12213134765625
9.9,0.03565559163689613,0.154693603515625
10.0,0.05012907832860947,0.174072265625
10.1,0.05483322590589523,0.165435791015625
10.2,0.06225552409887314,0.15802001953125
10.3,0.04293571040034294,0.119720458984375
10.4,0.030320480465888977,0.143402099609375
10.5,0.021642861887812614,0.059326171875
10.6,0.01854044198989868,0.0428466796875
10.7,0.02354712225496769,0.08880615234375
10.8,0.03527107089757919,0.078338623046875
10.9,0.03302054479718208,0.075958251953125
11.0,0.030870679765939713,0.06719970703125
11.1,0.025753576308488846,0.052490234375
11.2,0.02224014513194561,0.051239013671875
11.3,0.01716078445315361,0.037353515625
11.4,0.014206530526280403,0.027862548828125
11.5,0.011498074978590012,0.02337646484375
11.6,0.010558385401964188,0.022735595703125
11.7,0.009465969167649746,0.0205078125
11.8,0.008414862677454948,0.0211181640625
11.9,0.007278849836438894,0.018768310546875
12.0,0.00672541419044137,0.01776123046875
12.1,0.006117325741797686,0.017303466796875
12.2,0.0061617083847522736,0.01568603515625
12.3,0.005652858875691891,0.01336669921875
12.4,0.0052430350333452225,0.012298583984375
12.5,0.005198481027036905,0.012298583984375
12.6,0.005332659929990768,0.012664794921875
12.7,0.004991901107132435,0.010772705078125
12.8,0.005304703023284674,0.0142822265625
12.9,0.00627648551017046,0.015533447265625
13.0,0.006528024561703205,0.024139404296875
