time,motion
0.0,0.0
0.2,0.03712775185704231
0.4,0.04025300219655037
0.6,0.0461520291864872
0.8,0.05555795133113861
1.0,0.06422704458236694
1.2,0.05350456386804581
1.4,0.0521046407520771
1.6,0.026814453303813934
1.8,0.04417857527732849
2.0,0.08177892118692398
2.2,0.07222405076026917
2.4,0.06630252301692963
2.6,0.04122757911682129
2.8,0.0507291778922081
3.0,0.04851989448070526
3.2,0.029260942712426186
3.4,0.030903423205018044
3.6,0.03518245741724968
3.8,0.026771269738674164
4.0,0.0332481674849987
4.2,0.032094620168209076
4.4,0.033960986882448196
4.6,0.03445250540971756
4.8,0.03746294975280762
5.0,0.035595349967479706
5.2,0.03541641682386398
5.4,0.04095759615302086
5.6,0.06390753388404846
5.8,0.05472484976053238
6.0,0.04002177342772484
6.2,0.0423068031668663
6.4,0.06405501067638397
6.6,0.0819539725780487
6.8,0.06892576813697815
7.0,0.06577734649181366
7.2,0.05960667133331299
7.4,0.05053902044892311
7.6,0.04940588399767876
7.8,0.07575931400060654
8.0,0.07867543399333954
8.2,0.06258932501077652
8.4,0.062162578105926514
8.6,0.0639389231801033
8.8,0.07023748755455017
9.0,0.07738541811704636
9.2,0.06030500680208206
9.4,0.06579761952161789
9.6,0.06429541110992432
9.8,0.07718449831008911
10.0,0.0749211385846138
10.2,0.04767100140452385
10.4,0.054476507008075714
10.6,0.049741048365831375
10.8,0.048861581832170486
11.0,0.04954805225133896
11.2,0.035221416503190994
11.4,0.03961983323097229
11.6,0.03584852069616318
11.8,0.03212329000234604
12.0,0.03104151226580143
12.2,0.018757816404104233
12.4,0.01993180438876152
12.6,0.01524294912815094
12.8,0.014167035929858685
