time,motion
0.0,0.0
0.2,0.11968494206666946
0.4,0.12039414048194885
0.6,0.1408543437719345
0.8,0.11526836454868317
1.0,0.13269591331481934
1.2,0.11514783650636673
1.4,0.07841583341360092
1.6,0.0906139612197876
1.8,0.09167368710041046
2.0,0.09720013290643692
2.2,0.09123270213603973
2.4,0.07058153301477432
2.6,0.061022743582725525
2.8,0.06370896100997925
3.0,0.06170542165637016
3.2,0.05007778853178024
3.4,0.04582737013697624
3.6,0.056203458458185196
3.8,0.04662329703569412
4.0,0.042714573442935944
4.2,0.031297165900468826
4.4,0.022018035873770714
4.6,0.026115113869309425
4.8,0.02516067400574684
5.0,0.02982429601252079
5.2,0.04153338819742203
5.4,0.03682699054479599
5.6,0.03657060116529465
5.8,0.02846345864236355
6.0,0.03707508370280266
6.2,0.03375348448753357
6.4,0.03223467245697975
6.6,0.039746515452861786
6.8,0.04233548790216446
7.0,0.04328664392232895
7.2,0.036343637853860855
7.4,0.03145480901002884
7.6,0.03579619899392128
7.8,0.039865102618932724
8.0,0.03248975798487663
8.2,0.030558105558156967
8.4,0.027431460097432137
8.6,0.03797357529401779
8.8,0.03220270201563835
9.0,0.021643763408064842
9.2,0.036209721118211746
9.4,0.03246993571519852
9.6,0.03667093813419342
9.8,0.03194544464349747
10.0,0.02630493976175785
10.2,0.036373112350702286
10.4,0.026899782940745354
10.6,0.027386274188756943
10.8,0.029444146901369095
11.0,0.024461347609758377
11.2,0.020353203639388084
11.4,0.16259774565696716
11.6,0.15567199885845184
11.8,0.06936853379011154
12.0,7.228543108794838e-05
12.2,0.00012747310393024236
12.4,8.514551154803485e-05
12.6,4.3819538404932246e-05
12.8,4.211046689306386e-05
13.0,3.011892886206624e-06
13.2,9.946251111614401e-07
13.4,0.029388509690761566
13.6,0.23272892832756042
13.8,0.21551088988780975
14.0,0.09137549996376038
14.2,0.04882749542593956
14.4,0.041542477905750275
14.6,0.04672551155090332
14.8,0.046148110181093216
15.0,0.042025502771139145
15.2,0.05408523231744766
15.4,0.05920379236340523
15.6,0.059244584292173386
15.8,0.04988452047109604
16.0,0.03480350598692894
16.2,0.055317576974630356
16.4,0.058253515511751175
16.6,0.05621424317359924
16.8,0.048659760504961014
17.0,0.04098457098007202
17.2,0.05547443777322769
17.4,0.038924504071474075
17.6,0.04152136668562889
17.8,0.04072002321481705
18.0,0.03456873446702957
18.2,0.038326602429151535
18.4,0.03310650959610939
18.6,0.030994052067399025
18.8,0.03663540631532669
19.0,0.025210902094841003
19.2,0.029005805030465126
19.4,0.022507762536406517
19.6,0.02664850652217865
19.8,0.031728386878967285
20.0,0.02371625415980816
20.2,0.02587094157934189
20.4,0.02236333303153515
