time,rms,peak
0.0,0.024310018867254257,0.0689697265625
0.1,0.023904740810394287,0.071929931640625
0.2,0.035984721034765244,0.116302490234375
0.3,0.045205142349004745,0.133148193359375
0.4,0.03654169291257858,0.093170166015625
0.5,0.02899663709104061,0.0782470703125
0.6,0.024664968252182007,0.061767578125
0.7,0.022571412846446037,0.06292724609375
0.8,0.02558133378624916,0.076507568359375
0.9,0.036225575953722,0.09796142578125
1.0,0.03251834213733673,0.094085693359375
1.1,0.027550388127565384,0.082977294921875
1.2,0.02285613678395748,0.068115234375
1.3,0.019475970417261124,0.06097412109375
1.4,0.01731237955391407,0.054229736328125
1.5,0.02218352071940899,0.067169189453125
1.6,0.02002694644033909,0.05255126953125
1.7,0.01747843436896801,0.059356689453125
1.8,0.01574762351810932,0.045318603515625
1.9,0.014052899554371834,0.043060302734375
2.0,0.019057048484683037,0.0596923828125
2.1,0.021803054958581924,0.060089111328125
2.2,0.019761089235544205,0.052825927734375
2.3,0.01757514849305153,0.056671142578125
2.4,0.016578877344727516,0.046875
2.5,0.01599975675344467,0.045166015625
2.6,0.013585858978331089,0.038543701171875
2.7,0.013287147507071495,0.038299560546875
2.8,0.012595056556165218,0.04913330078125
2.9,0.020407147705554962,0.081298828125
3.0,0.040155813097953796,0.0946044921875
3.1,0.034618426114320755,0.079437255859375
3.2,0.0262130256742239,0.071014404296875
3.3,0.025999058037996292,0.08514404296875
3.4,0.03104540891945362,0.084625244140625
3.5,0.027027597650885582,0.069793701171875
3.6,0.02044660598039627,0.055999755859375
3.7,0.016280030831694603,0.041290283203125
3.8,0.018852923065423965,0.054656982421875
3.9,0.022229311987757683,0.1171875
4.0,0.1365816444158554,0.34228515625
4.1,0.10642220824956894,0.32476806640625
4.2,0.12257212400436401,0.428619384765625
4.3,0.15367832779884338,0.32989501953125
4.4,0.13284263014793396,0.345428466796875
4.5,0.03416898846626282,0.123565673828125
4.6,0.046449966728687286,0.18756103515625
4.7,0.018680837005376816,0.06512451171875
4.8,0.01509562786668539,0.0545654296875
4.9,0.013167929835617542,0.03717041015625
5.0,0.012434267438948154,0.041534423828125
5.1,0.11265508085489273,0.510772705078125
5.2,0.23725546896457672,0.564727783203125
5.3,0.17923471331596375,0.533538818359375
5.4,0.06049879267811775,0.26531982421875
5.5,0.1032896488904953,0.2969970703125
5.6,0.02892111986875534,0.0738525390625
5.7,0.02365810237824917,0.06121826171875
5.8,0.02340233512222767,0.0999755859375
5.9,0.03972824290394783,0.085906982421875
6.0,0.03619653731584549,0.079559326171875
6.1,0.03267534077167511,0.069427490234375
6.2,0.037415940314531326,0.13177490234375
6.3,0.05691322311758995,0.12115478515625
6.4,0.04034696891903877,0.09967041015625
6.5,0.029671698808670044,0.070159912109375
6.6,0.025578340515494347,0.076995849609375
6.7,0.020913580432534218,0.053466796875
6.8,0.017326032742857933,0.047515869140625
6.9,0.0175466425716877,0.052886962890625
7.0,0.01915779709815979,0.05242919921875
7.1,0.01861436478793621,0.051055908203125
7.2,0.04391557723283768,0.133697509765625
7.3,0.06967701017856598,0.126678466796875
7.4,0.05079023912549019,0.100372314453125
7.5,0.036103345453739166,0.077178955078125
7.6,0.027642833068966866,0.060028076171875
7.7,0.03951096162199974,0.103851318359375
7.8,0.030501442030072212,0.08740234375
7.9,0.024646222591400146,0.069183349609375
8.0,0.029347768053412437,0.110870361328125
8.1,0.05045020952820778,0.12603759765625
8.2,0.03897080570459366,0.106231689453125
8.3,0.031436625868082047,0.0869140625
8.4,0.03530547395348549,0.111907958984375
8.5,0.03781787306070328,0.1112060546875
8.6,0.03471982106566429,0.08203125
8.7,0.0677393451333046,0.285308837890625
8.8,0.17507080733776093,0.59368896484375
8.9,0.13387125730514526,0.547698974609375
9.0,0.17206591367721558,0.480377197265625
9.1,0.18382717669010162,0.5081787109375
9.2,0.08617647737264633,0.36224365234375
9.3,0.035655610263347626,0.104583740234375
9.4,0.043105125427246094,0.097198486328125
9.5,0.033603519201278687,0.07708740234375
9.6,0.028501952067017555,0.06988525390625
9.7,0.023683538660407066,0.056182861328125
9.8,0.16106022894382477,0.539825439453125
9.9,0.24172790348529816,0.516998291015625
10.0,0.14949114620685577,0.44854736328125
