time,motion
0.0,0.0
0.2,0.05408216267824173
0.4,0.0744374543428421
0.6,0.08202669769525528
0.8,0.078834168612957
1.0,0.07723713666200638
1.2,0.0953947976231575
1.4,0.10385216027498245
1.6,0.10985685884952545
1.8,0.09913385659456253
2.0,0.09809178858995438
2.2,0.08422604203224182
2.4,0.08891143649816513
2.6,0.08623556792736053
2.8,0.08480600267648697
3.0,0.08209827542304993
3.2,0.07083011418581009
3.4,0.07156514376401901
3.6,0.06640990823507309
3.8,0.06063218042254448
4.0,0.05632447823882103
4.2,0.043443597853183746
4.4,0.04209287837147713
4.6,0.035776685923337936
4.8,0.02690228261053562
5.0,0.046714168041944504
5.2,0.03885185346007347
5.4,0.04144984111189842
5.6,0.038217056542634964
5.8,0.19548529386520386
6.0,0.0550696961581707
6.2,0.04776923358440399
6.4,0.05714409053325653
6.6,0.04308126121759415
6.8,0.04101647809147835
7.0,0.04601773992180824
7.2,0.036356762051582336
7.4,0.049752410501241684
7.6,0.06611093878746033
7.8,0.07923104614019394
8.0,0.09450043737888336
8.2,0.07924053072929382
8.4,0.08997241407632828
8.6,0.08660837262868881
8.8,0.09020066261291504
9.0,0.10192732512950897
9.2,0.08722054958343506
9.4,0.09617585688829422
9.6,0.08554605394601822
9.8,0.07577693462371826
10.0,0.07187435775995255
10.2,0.0541175901889801
10.4,0.060033466666936874
10.6,0.05247436836361885
10.8,0.04535563662648201
11.0,0.04376791790127754
11.2,0.02495744824409485
11.4,0.02767644263803959
11.6,0.027762681245803833
11.8,0.0313137024641037
12.0,0.02839413285255432
12.2,0.02443653531372547
12.4,0.03795837610960007
12.6,0.040776342153549194
12.8,0.24487337470054626
13.0,0.05204305052757263
13.2,0.04658594727516174
13.4,0.04626227170228958
13.6,0.0368037112057209
13.8,0.038323141634464264
14.0,0.04112175107002258
14.2,0.03109307959675789
14.4,0.023647768422961235
14.6,0.031068336218595505
14.8,0.03882663697004318
