time,motion
0.0,0.0
0.2,0.04652051255106926
0.4,0.06259807199239731
0.6,0.10260668396949768
0.8,0.11715278029441833
1.0,0.10180660337209702
1.2,0.0827055424451828
1.4,0.09554781764745712
1.6,0.08972811698913574
1.8,0.09084655344486237
2.0,0.17639672756195068
2.2,0.05144485458731651
2.4,0.07420565187931061
2.6,0.0685814619064331
2.8,0.08194553107023239
3.0,0.09112070500850677
3.2,0.0819341391324997
3.4,0.07874520123004913
3.6,0.06970569491386414
3.8,0.06457999348640442
4.0,0.04878229647874832
4.2,0.027549825608730316
4.4,0.040177781134843826
4.6,0.04529506713151932
4.8,0.03680196404457092
