time,rms,peak
0.0,0.004981097299605608,0.01654052734375
0.1,0.005588466301560402,0.02081298828125
0.2,0.0054068733006715775,0.016510009765625
0.3,0.005827394779771566,0.01824951171875
0.4,0.006017840467393398,0.018096923828125
0.5,0.005968458019196987,0.017578125
0.6,0.005288220942020416,0.015167236328125
0.7,0.005155234131962061,0.01495361328125
0.8,0.004704575520008802,0.013275146484375
0.9,0.005877693649381399,0.02740478515625
1.0,0.017255157232284546,0.04925537109375
1.1,0.017268339172005653,0.052154541015625
1.2,0.015184693969786167,0.043304443359375
1.3,0.01217113621532917,0.03472900390625
1.4,0.013051031157374382,0.042388916015625
1.5,0.01618354022502899,0.042938232421875
1.6,0.01282637007534504,0.034637451171875
1.7,0.010910176672041416,0.028411865234375
1.8,0.009417228400707245,0.027923583984375
1.9,0.010417819023132324,0.038482666015625
2.0,0.011768125928938389,0.02880859375
2.1,0.011574769392609596,0.0299072265625
2.2,0.010588987730443478,0.0284423828125
2.3,0.009617004543542862,0.02764892578125
2.4,0.008351651020348072,0.022430419921875
2.5,0.0076875388622283936,0.020751953125
2.6,0.11490373313426971,0.30419921875
2.7,0.0765535905957222,0.25457763671875
2.8,0.12133727967739105,0.27374267578125
2.9,0.07898055016994476,0.231292724609375
3.0,0.039814434945583344,0.218170166015625
3.1,0.1131255254149437,0.284332275390625
3.2,0.09047059714794159,0.16339111328125
3.3,0.08214202523231506,0.178009033203125
3.4,0.08958128839731216,0.19256591796875
3.5,0.04347355663776398,0.13531494140625
3.6,0.033248044550418854,0.111175537109375
3.7,0.01061105728149414,0.041473388671875
3.8,0.0050880396738648415,0.017333984375
3.9,0.0045842984691262245,0.014739990234375
4.0,0.004137618001550436,0.012176513671875
4.1,0.00513827009126544,0.04681396484375
4.2,0.004845235962420702,0.024322509765625
4.3,0.02014446072280407,0.043487548828125
4.4,0.019566500559449196,0.03863525390625
4.5,0.09062663465738297,0.29541015625
4.6,0.04490155726671219,0.17437744140625
4.7,0.0543658584356308,0.148193359375
4.8,0.022281792014837265,0.0989990234375
4.9,0.012455376796424389,0.0345458984375
5.0,0.00877811573445797,0.032012939453125
5.1,0.0,0.0
